stid,number,name,lat [degrees],lon [degrees],elevation [m],county,nearest_city,state,distance_from_town [km],direction_from_town [degrees],climate_division,climate_division_name,wfo,commissioned,decommissioned,int_id
ADDI,107,Addison,42.04036,-77.23725999999999,507.61400000000003,Steuben,Addison,NY,6.9,S,1,Western Plateau,BGM,2016-08-10 18:15:00 UTC,,1
ANDE,111,Andes,42.18227,-74.80139,518.2819999999999,Delaware,Andes,NY,1.5,WSW,2,Eastern Plateau,BGM,2016-08-04 15:55:00 UTC,,2
BATA,24,Batavia,43.019940000000005,-78.13566,276.12,Genesee,Batavia,NY,4.9,ENE,9,Great Lakes,BUF,2016-02-18 18:40:00 UTC,,3
BEAC,76,Beacon,41.52875,-73.94527,90.1598,Dutchess,Beacon,NY,3.3,NE,5,Hudson Valley,ALY,2016-08-22 16:45:00 UTC,,4
BELD,90,Belden,42.22322,-75.66852,470.37,Broome,Belden,NY,2.2,NNE,2,Eastern Plateau,BGM,2015-11-30 20:20:00 UTC,,5
BELL,30,Belleville,43.78962,-76.11373,144.78,Jefferson,Belleville,NY,0.8,NE,9,Great Lakes,BUF,2016-04-28 17:05:00 UTC,,6
BELM,70,Belmont,42.242490000000004,-78.03958,417.57599999999996,Allegany,Belmont,NY,2.2,N,1,Western Plateau,BUF,2016-05-16 20:45:00 UTC,,7
BERK,80,Berkshire,42.3203,-76.20319,393.59,Tioga,Berkshire,NY,2.2,NW,2,Eastern Plateau,BGM,2015-11-19 16:25:00 UTC,,8
BING,5,Binghamton,42.05843,-75.95104,534.436,Broome,Binghamton,NY,5.2,SSW,2,Eastern Plateau,BGM,2016-10-04 18:25:00 UTC,,9
BKLN,33,Brooklyn,40.631762,-73.953678,33.22,Kings,Brooklyn,NY,5.2,ESE,4,Coastal,OKX,2017-06-19 18:45:00 UTC,,10
BRAN,66,Brant,42.59494,-79.02154,218.542,Erie,Brant,NY,0.8,NNW,9,Great Lakes,BUF,2016-04-23 17:10:00 UTC,,11
BREW,109,Brewster,41.43993,-73.57642,185.34900000000002,Putnam,Brewster,NY,5.8,NE,5,Hudson Valley,OKX,2017-03-30 22:15:00 UTC,,12
BROC,43,Brockport,43.20835,-77.96592,171.602,Monroe,Brockport,NY,2.3,WSW,9,Great Lakes,BUF,2016-06-16 17:25:00 UTC,,13
BRON,26,Bronx,40.872481,-73.89352199999999,57.5,Bronx,Bronx,NY,3.9,NW,4,Coastal,OKX,2017-09-12 20:10:00 UTC,,14
BROO,96,Brookfield,42.79591,-75.29929,505.176,Madison,Brookfield,NY,2.4,SE,2,Eastern Plateau,BGM,2016-08-05 17:35:00 UTC,,15
BSPA,97,Ballston Spa,43.0228,-73.87498000000001,120.51799999999999,Saratoga,Ballston Spa,NY,3.2,NW,5,Hudson Valley,ALY,2016-08-18 16:40:00 UTC,,16
BUFF,4,Buffalo,43.000170000000004,-78.76717,179.588,Erie,Buffalo,NY,15.6,NE,9,Great Lakes,BUF,2017-03-09 21:20:00 UTC,,17
BURD,78,Burdett,42.41042,-76.77176,567.751,Schuyler,Burdett,NY,6.5,E,10,Central Lakes,BGM,2016-05-23 15:05:00 UTC,,18
BURT,119,Burt,43.316990000000004,-78.74903,96.012,Niagara,Burt,NY,2.9,W,9,Great Lakes,BUF,2016-06-15 22:30:00 UTC,,19
CAMD,98,Camden,43.33985,-75.74299,150.327,Oneida,Camden,NY,0.7,NNE,6,Mohawk Valley,BGM,2016-06-29 19:20:00 UTC,,20
CAPE,59,Cape Vincent,44.10452,-76.32686,83.94200000000001,Jefferson,Cape Vincent,NY,2.6,S,9,Great Lakes,BUF,2016-04-27 22:15:00 UTC,,21
CHAZ,29,Chazy,44.89565,-73.46461,56.571000000000005,Clinton,Chazy,NY,2.4,WNW,7,Champlain Valley,BTV,2016-07-08 17:40:00 UTC,,22
CHES,18,Chestertown,43.6539,-73.77736,332.02,Warren,Chestertown,NY,1.9,E,7,Champlain Valley,ALY,2015-12-06 21:45:00 UTC,,23
CINC,44,Cincinnatus,42.522424,-75.975622,423.916,Cortland,Cincinnatus,NY,6.9,WSW,2,Eastern Plateau,BGM,2016-04-21 18:30:00 UTC,,24
CLAR,110,Claryville,41.9792,-74.5171,583.692,Ulster,Claryville,NY,8.2,NE,2,Eastern Plateau,BGM,2016-10-20 19:00:00 UTC,,25
CLIF,58,Clifton Springs,43.014790000000005,-77.18518,191.445,Ontario,Clifton Springs,NY,6.9,NNW,10,Central Lakes,BUF,2016-07-13 14:15:00 UTC,,26
CLYM,19,Clymer,42.02447,-79.62408,450.06800000000004,Chautauqua,Clymer,NY,0.6,NE,9,Great Lakes,BUF,2016-06-01 19:55:00 UTC,,27
COBL,23,Cobleskill,42.676266999999996,-74.50796700000001,327.96,Schoharie,Cobleskill,NY,1.9,W,2,Eastern Plateau,ALY,2016-01-25 23:05:00 UTC,,28
COHO,74,Cohocton,42.51178,-77.43762,599.328,Steuben,Cohocton,NY,5.8,E,1,Western Plateau,BGM,2016-05-17 16:30:00 UTC,,29
COLD,32,Cold Brook,43.261268,-74.978778,433.395,Herkimer,Cold Brook,NY,5.4,NE,3,Northern Plateau,ALY,2015-11-11 20:55:00 UTC,,30
COPA,57,Copake,42.136590000000005,-73.51988,208.84900000000002,Columbia,Copake,NY,4.4,NE,5,Hudson Valley,ALY,2016-08-03 18:10:00 UTC,,31
COPE,93,Copenhagen,43.920564,-75.607866,249.113,Lewis,Carthage,NY,6.4,S,3,Northern Plateau,BUF,2016-02-05 19:10:00 UTC,,32
CROG,51,Croghan,43.974959999999996,-75.20100000000001,418.94800000000004,Lewis,Croghan,NY,17.7,ENE,3,Northern Plateau,BUF,2016-11-02 18:50:00 UTC,,33
CSQR,85,Central Square,43.32613,-76.10445,138.01,Oswego,Central Square,NY,5.5,NE,9,Great Lakes,BUF,2015-11-05 01:00:00 UTC,,34
DELE,67,Delevan,42.418464,-78.4232,622.31,Cattaraugus,Delevan,NY,9.2,SSE,1,Western Plateau,BUF,2016-03-08 21:15:00 UTC,,35
DEPO,106,Deposit,42.068551,-75.392193,311.658,Delaware,Deposit,NY,2.5,ENE,2,Eastern Plateau,BGM,2016-08-23 16:00:00 UTC,,36
DOVE,104,Dover Plains,41.77367,-73.57542,128.961,Dutchess,Dover Plains,NY,3.6,N,5,Hudson Valley,ALY,2016-12-09 20:20:00 UTC,,37
DUAN,113,Duanesburg,42.80319,-74.17361,417.149,Schenectady,Duanesburg,NY,5.6,NW,2,Eastern Plateau,ALY,2016-07-22 17:25:00 UTC,,38
EAUR,68,East Aurora,42.71349,-78.63173,377.038,Erie,East Aurora,NY,6.2,SSW,9,Great Lakes,BUF,2016-08-08 22:55:00 UTC,,39
EDIN,49,Edinburg,43.228190000000005,-74.11293,324.703,Saratoga,Edinburg,NY,1.0,NW,5,Hudson Valley,ALY,2016-07-15 20:15:00 UTC,,40
EDWA,17,Edwards,44.32177,-75.24413,207.99599999999998,St. Lawrence,Edwards,NY,0.6,ESE,8,St. Lawrence Valley,BTV,2016-08-16 23:10:00 UTC,,41
ELDR,53,Eldred,41.539609999999996,-74.87992,347.624,Sullivan,Eldred,NY,1.4,NNE,2,Eastern Plateau,BGM,2016-08-25 17:15:00 UTC,,42
ELLE,55,Ellenburg,44.8955,-73.84501999999999,297.91200000000003,Clinton,Ellenburg,NY,0.7,WNW,3,Northern Plateau,BTV,2016-08-30 15:35:00 UTC,,43
ELMI,73,Elmira,42.11332,-76.83664,332.445,Chemung,Elmira,NY,3.5,NW,1,Western Plateau,BGM,2016-06-30 17:35:00 UTC,,44
ESSX,13,Essex,44.313604,-73.37189599999999,55.5,Essex,Essex,NY,1.6,WNW,7,Champlain Valley,BTV,2015-12-05 21:15:00 UTC,,45
FAYE,88,Fayetteville,43.054226,-75.990041,179.07,Onondaga,Fayetteville,NY,2.9,NNE,10,Central Lakes,BGM,2016-07-14 19:35:00 UTC,,46
FRED,56,Fredonia,42.41817,-79.3666,238.75,Chautauqua,Fredonia,NY,3.7,SW,9,Great Lakes,BUF,2016-04-23 01:45:00 UTC,,47
GABR,118,Gabriels,44.41742,-74.17867,535.72,Franklin,Gabriels,NY,1.6,S,3,Northern Plateau,BTV,2016-01-20 20:15:00 UTC,,48
GFAL,38,Glens Falls,43.34087,-73.60202,98.664,Warren,Glens Falls,NY,4.9,NE,5,Hudson Valley,ALY,2017-03-10 20:20:00 UTC,,49
GFLD,91,Glenfield,43.7168,-75.40925,255.514,Lewis,Glenfield,NY,0.9,NW,3,Northern Plateau,BUF,2016-08-29 17:35:00 UTC,,50
GROT,41,Groton,42.54855,-76.37534000000001,392.24699999999996,Tompkins,Groton,NY,4.4,S,10,Central Lakes,BGM,2016-12-21 19:40:00 UTC,,51
GROV,71,Grove,42.489509999999996,-77.94946,609.722,Allegany,Grove,NY,8.9,NW,1,Western Plateau,BUF,2016-07-20 18:40:00 UTC,,52
HAMM,60,Hammond,44.513020000000004,-75.61729,111.95299999999999,St. Lawrence,Hammond,NY,9.4,NE,8,St. Lawrence Valley,BTV,2016-08-16 16:50:00 UTC,,53
HARP,101,Harpersfield,42.4728,-74.69849,519.8969999999999,Delaware,Harpersfield,NY,4.0,NNW,2,Eastern Plateau,BGM,2016-08-04 19:55:00 UTC,,54
HARR,112,Harrisburg,43.80352,-75.68853,494.69,Lewis,Harrisburg,NY,8.0,WSW,3,Northern Plateau,BUF,2016-06-21 20:25:00 UTC,,55
HART,40,Hartsville,42.211221,-77.68973299999999,729.569,Steuben,Hartsville,NY,4.0,S,1,Western Plateau,BGM,2016-08-09 21:00:00 UTC,,56
HERK,50,Herkimer,43.03662,-75.00957,217.53599999999997,Herkimer,Herkimer,NY,2.2,WNW,6,Mohawk Valley,ALY,2016-08-10 01:10:00 UTC,,57
HFAL,82,High Falls,41.7988,-74.12312,193.12099999999998,Ulster,High Falls,NY,3.1,S,5,Hudson Valley,ALY,2016-11-17 18:25:00 UTC,,58
ILAK,122,Indian Lake,43.79067,-74.23933000000001,494.17199999999997,Hamilton,Indian Lake,NY,2.3,ENE,3,Northern Plateau,ALY,2016-07-26 16:25:00 UTC,,59
JOHN,31,Johnstown,42.984283000000005,-74.301767,227.19799999999998,Montgomery,Johnstown,NY,6.0,ESE,6,Mohawk Valley,ALY,2016-03-22 16:50:00 UTC,,60
JORD,27,Jordan,43.0698,-76.47006,122.682,Onondaga,Jordan,NY,0.5,NE,10,Central Lakes,BGM,2015-11-17 21:45:00 UTC,,61
KIND,64,Kinderhook,42.41001,-73.71557,72.5729,Columbia,Kinderhook,NY,2.2,NW,5,Hudson Valley,ALY,2016-08-30 17:30:00 UTC,,62
LAUR,47,Laurens,42.525259999999996,-75.1369,495.971,Otsego,Laurens,NY,3.9,W,2,Eastern Plateau,BGM,2016-01-15 22:45:00 UTC,,63
LOUI,61,Louisville,44.87169,-75.05608000000001,85.1002,St. Lawrence,Louisville,NY,4.2,SW,8,St. Lawrence Valley,BTV,2016-03-26 19:20:00 UTC,,64
MALO,21,Malone,44.852869,-74.328874,236.22,Franklin,Malone,NY,2.7,W,8,St. Lawrence Valley,BTV,2016-08-15 22:30:00 UTC,,65
MANH,1,Manhattan,40.767544,-73.96448199999999,94.7928,New York,Manhattan,NY,1.8,SSE,4,Coastal,OKX,2017-07-18 19:50:00 UTC,,66
MEDI,69,Medina,43.22668,-78.30927,162.489,Orleans,Medina,NY,6.3,E,9,Great Lakes,BUF,2016-07-19 20:20:00 UTC,,67
MEDU,105,Medusa,42.46869,-74.16541,380.147,Albany,Medusa,NY,4.7,NW,2,Eastern Plateau,ALY,2016-08-24 16:40:00 UTC,,68
MORR,7,Morrisville,42.883917,-75.642447,381.213,Madison,Morrisville,NY,1.7,S,2,Eastern Plateau,BGM,2016-06-27 18:50:00 UTC,,69
NBRA,86,North Branch,41.82792,-74.99689000000001,456.225,Sullivan,North Branch,NY,2.4,N,2,Eastern Plateau,BGM,2016-07-21 17:30:00 UTC,,70
NEWC,48,Newcomb,43.973290000000006,-74.22273,501.39599999999996,Essex,Newcomb,NY,4.7,W,3,Northern Plateau,BTV,2016-10-18 16:45:00 UTC,,71
NHUD,116,North Hudson,44.0131,-73.70515999999999,298.978,Essex,North Hudson,NY,7.0,NNE,7,Champlain Valley,BTV,2016-09-13 14:50:00 UTC,,72
OLDF,11,Old Forge,43.74157,-74.97785999999999,534.406,Herkimer,Old Forge,NY,3.5,N,3,Northern Plateau,ALY,2016-09-02 15:25:00 UTC,,73
OLEA,65,Olean,42.091409999999996,-78.40743,457.23,Cattaraugus,Olean,NY,2.1,ENE,1,Western Plateau,BUF,2016-06-02 23:15:00 UTC,,74
ONTA,37,Ontario,43.259409999999995,-77.37331,99.8525,Wayne,Ontario,NY,8.4,WNW,9,Great Lakes,BUF,2016-11-01 19:30:00 UTC,,75
OPPE,117,Oppenheim,43.0626,-74.665437,359.999,Fulton,Oppenheim,NY,2.5,ESE,6,Mohawk Valley,ALY,2016-07-29 17:25:00 UTC,,76
OSCE,84,Osceola,43.49915,-75.71175,333.17699999999996,Lewis,Osceola,NY,0.9,E,3,Northern Plateau,BUF,2016-06-22 18:50:00 UTC,,77
OSWE,16,Oswego,43.443183000000005,-76.55323299999999,93.726,Oswego,Oswego,NY,3.7,WSW,9,Great Lakes,BUF,2016-07-07 00:25:00 UTC,,78
OTIS,100,Otisville,41.482490000000006,-74.50368,237.165,Orange,Otisville,NY,3.1,E,5,Hudson Valley,OKX,2015-12-10 18:20:00 UTC,,79
OWEG,52,Owego,42.02571,-76.25543,447.87300000000005,Tioga,Owego,NY,8.5,S,2,Eastern Plateau,BGM,2016-07-20 22:35:00 UTC,,80
PENN,77,Penn Yan,42.65578,-76.98746,250.668,Yates,Penn Yan,NY,5.5,E,10,Central Lakes,BGM,2016-05-24 15:15:00 UTC,,81
PHIL,89,Philadelphia,44.193540000000006,-75.71591,130.912,Jefferson,Philadelphia,NY,4.3,N,3,Northern Plateau,BUF,2016-07-08 00:05:00 UTC,,82
PISE,114,Piseco,43.46474,-74.50431999999999,535.991,Hamilton,Piseco,NY,3.1,NNE,3,Northern Plateau,ALY,2017-03-25 16:00:00 UTC,,83
POTS,22,Potsdam,44.656867,-74.97443299999999,128.687,St. Lawrence,Potsdam,NY,1.5,SSE,8,St. Lawrence Valley,BTV,2016-07-08 01:45:00 UTC,,84
QUEE,34,Queens,40.734334999999994,-73.81585600000001,54.5592,Queens,Queens,NY,1.9,WNW,4,Coastal,OKX,2017-04-18 20:50:00 UTC,,85
RAND,125,Randolph,42.14928,-78.90096,448.97,Cattaraugus,Randolph,NY,6.3,ESE,1,Western Plateau,BUF,2016-06-02 15:50:00 UTC,,86
RAQU,45,Raquette Lake,43.822752,-74.625091,539.74,Hamilton,Raquette Lake,NY,2.8,ENE,3,Northern Plateau,ALY,2016-11-10 18:55:00 UTC,,87
REDF,120,Redfield,43.62218,-75.87769,380.39,Oswego,Redfield,NY,10.9,NNW,3,Northern Plateau,BUF,2016-06-21 23:30:00 UTC,,88
REDH,25,Red Hook,42.00168,-73.88391,64.8005,Dutchess,Red Hook,NY,1.0,NW,5,Hudson Valley,ALY,2016-08-02 18:20:00 UTC,,89
ROXB,62,Roxbury,42.329640000000005,-74.46746,573.055,Delaware,Roxbury,NY,7.9,ENE,2,Eastern Plateau,BGM,2016-08-24 17:20:00 UTC,,90
RUSH,87,Rush,43.00099,-77.63739,180.80700000000002,Monroe,Rush,NY,0.8,NW,9,Great Lakes,BUF,2016-07-12 18:20:00 UTC,,91
SARA,121,Saranac,44.707584999999995,-73.67115,313.731,Clinton,Saranac,NY,8.5,NE,7,Champlain Valley,BTV,2016-07-12 18:10:00 UTC,,92
SBRI,75,South Bristol,42.75217,-77.35931,349.64,Ontario,South Bristol,NY,4.1,NE,10,Central Lakes,BUF,2016-02-19 01:25:00 UTC,,93
SCHA,12,Schaghticoke,42.89697,-73.61405,98.45,Rensselaer,Schaghticoke,NY,2.4,W,5,Hudson Valley,ALY,2016-06-20 20:40:00 UTC,,94
SCHO,126,Schodack,42.50631,-73.68584,104.882,Rensselaer,Schodack,NY,6.4,S,5,Hudson Valley,ALY,2017-01-11 20:00:00 UTC,,95
SCHU,9,Schuylerville,43.116996,-73.578284,31.4462,Saratoga,Schuylerville,NY,1.9,N,5,Hudson Valley,ALY,2015-08-09 20:40:00 UTC,,96
SCIP,81,Scipio Center,42.756215999999995,-76.534035,395.23400000000004,Cayuga,Scipio Center,NY,3.7,SSE,10,Central Lakes,BGM,2016-09-22 18:45:00 UTC,,97
SHER,54,Sherburne,42.64026,-75.4837,352.62300000000005,Chenango,Sherburne,NY,4.3,SSE,2,Eastern Plateau,BGM,2016-02-23 19:05:00 UTC,,98
SOME,103,Somers,41.31037,-73.76711,184.892,Westchester,Shenorock,NY,3.4,SW,5,Hudson Valley,OKX,2017-02-28 19:20:00 UTC,,99
SOUT,35,Southold,41.040081,-72.465864,8.930639999999999,Suffolk,Southold,NY,4.3,SW,4,Coastal,OKX,2016-11-10 22:25:00 UTC,,100
SPRA,8,Sprakers,42.87427,-74.50859,199.857,Montgomery,Sprakers,NY,2.4,S,6,Mohawk Valley,ALY,2015-11-06 20:00:00 UTC,,101
SPRI,102,Springfield,42.84315,-74.88961,450.342,Otsego,Springfield,NY,3.0,WNW,2,Eastern Plateau,BGM,2016-08-15 22:00:00 UTC,,102
STAT,20,Staten Island,40.604014,-74.148499,33.1,Richmond,Staten Island,NY,5.3,N,4,Coastal,OKX,2017-05-03 22:15:00 UTC,,103
STEP,63,Stephentown,42.5262,-73.35906,289.77,Rensselaer,Stephentown,NY,2.8,SSE,5,Hudson Valley,ALY,2015-12-08 18:40:00 UTC,,104
STON,2,Stony Brook,40.91912,-73.13168,43.9217,Suffolk,Stony Brook,NY,1.06,SE,4,Coastal,OKX,2018-02-21 15:35:00 UTC,,105
SUFF,28,Suffern,41.13038,-74.08986999999999,178.095,Rockland,Suffern,NY,5.3,ENE,5,Hudson Valley,OKX,2016-08-17 17:45:00 UTC,,106
TANN,108,Tannersville,42.17071,-74.11343000000001,711.373,Greene,Tannersville,NY,3.3,SSE,2,Eastern Plateau,ALY,2017-02-01 20:30:00 UTC,,107
TICO,15,Ticonderoga,43.87469,-73.41879,83.637,Essex,Ticonderoga,NY,2.9,N,7,Champlain Valley,BTV,2016-01-28 19:50:00 UTC,,108
TULL,83,Tully,42.79463,-76.11555,378.379,Onondaga,Tully,NY,0.6,SW,10,Central Lakes,BGM,2016-03-30 17:30:00 UTC,,109
TUPP,124,Tupper Lake,44.22128,-74.43826,502.829,Franklin,Tupper Lake,NY,2.1,E,3,Northern Plateau,BTV,2016-07-13 17:20:00 UTC,,110
TYRO,39,Tyrone,42.40611,-77.0539,366.85699999999997,Schuyler,Tyrone,NY,0.4,ESE,10,Central Lakes,BGM,2016-05-23 19:10:00 UTC,,111
VOOR,3,Voorheesville,42.65242,-73.97561999999999,115.06200000000001,Albany,Voorheesville,NY,3.8,W,5,Hudson Valley,ALY,2016-08-16 16:10:00 UTC,,112
WALL,36,Wallkill,41.63409,-74.1537,107.777,Ulster,Wallkill,NY,4.0,NE,5,Hudson Valley,ALY,2016-06-23 17:50:00 UTC,,113
WALT,95,Walton,42.2395,-75.17879,559.7959999999999,Delaware,Walton,NY,8.8,NNW,2,Eastern Plateau,BGM,2016-04-18 19:05:00 UTC,,114
WANT,42,Wantagh,40.6551,-73.50616,8.5344,Nassau,Wantagh,NY,3.2,S,4,Coastal,OKX,2016-11-10 03:05:00 UTC,,115
WARS,72,Warsaw,42.77993,-78.20889,540.715,Wyoming,Warsaw,NY,7.6,NW,10,Central Lakes,BUF,2016-05-16 15:35:00 UTC,,116
WARW,92,Warwick,41.240359999999995,-74.39056,164.287,Orange,Warwick,NY,3.1,SW,5,Hudson Valley,OKX,2016-04-14 16:50:00 UTC,,117
WATE,6,Waterloo,42.87966,-76.81255,145.755,Seneca,Waterloo,NY,5.0,SE,10,Central Lakes,BGM,2015-11-04 16:40:00 UTC,,118
WBOU,94,Woodbourne,41.74505,-74.58833,432.999,Sullivan,Woodbourne,NY,0.6,SE,2,Eastern Plateau,BGM,2016-09-01 17:25:00 UTC,,119
WELL,115,Wellesley Island,44.30782,-76.00858000000001,86.777,Jefferson,Wellesley Island,NY,0.8,S,8,St. Lawrence Valley,BTV,2016-04-27 17:00:00 UTC,,120
WEST,46,Westmoreland,43.10647,-75.46146,199.614,Oneida,Westmoreland,NY,4.8,W,6,Mohawk Valley,BGM,2015-11-18 19:45:00 UTC,,121
WFMB,14,Whiteface Mountain Base,44.393236,-73.858829,614.599,Essex,Wilmington,NY,3.5,W,3,Northern Plateau,BTV,2016-01-29 20:55:00 UTC,,122
WGAT,123,Woodgate,43.532408000000004,-75.158597,442.966,Oneida,Woodgate,NY,1.4,NNW,3,Northern Plateau,BGM,2016-08-29 18:20:00 UTC,,123
WHIT,10,Whitehall,43.485073,-73.423071,36.5638,Washington,Whitehall,NY,8.0,S,7,Champlain Valley,ALY,2015-08-26 20:30:00 UTC,,124
WOLC,79,Wolcott,43.22868,-76.84261,121.219,Wayne,Wolcott,NY,2.4,WNW,9,Great Lakes,BUF,2016-03-09 18:10:00 UTC,,125
YORK,99,York,42.85504,-77.84776,177.942,Livingston,York,NY,3.6,ESE,10,Central Lakes,BUF,2016-08-09 17:55:00 UTC,,126
